Temps;EA0;Temps;EA1;Temps;I
0.00022;0.967438101768494;0.00022;-2.64144869148731;0.00022;-0.190737624963125
0.000221;0.977355450391769;0.000221;-2.60669932514429;0.000221;-0.194051913917065
0.000222;0.982314124703407;0.000222;-2.56202156841755;0.000222;-0.197366202871005
0.000223;0.997190147638321;0.000223;-2.51734381169081;0.000223;-0.197366202871005
0.000224;1.0071074962616;0.000224;-2.47763025015593;0.000224;-0.180794758101304
0.000225;1.01702484488487;0.000225;-2.43295249342918;0.000225;-0.185766191532214
0.000226;1.01206617057323;0.000226;-2.41309571266174;0.000226;-0.162566168854634
0.000227;1.01702484488487;0.000227;-2.368417955935;0.000227;-0.164223313331604
0.000228;1.01702484488487;0.000228;-2.33863278478384;0.000228;-0.150966157515844
0.000229;1.02694219350815;0.000229;-2.2939550280571;0.000229;-0.134394712746143
0.00023;1.03685954213142;0.00023;-2.25424146652222;0.00023;-0.134394712746143
0.000231;1.03685954213142;0.000231;-2.22445629537106;0.000231;-0.137709001700083
0.000232;1.04181821644306;0.000232;-2.18474273383617;0.000232;-0.131080423792203
0.000233;1.04181821644306;0.000233;-2.15495756268501;0.000233;-0.141023290654023
0.000234;1.04181821644306;0.000234;-2.12020819634199;0.000234;-0.137709001700083
0.000235;1.05173556506634;0.000235;-2.08049463480711;0.000235;-0.144337579607964
0.000236;1.05669423937798;0.000236;-2.04574526846409;0.000236;-0.131080423792203
0.000237;1.06165291368961;0.000237;-2.00106751173735;0.000237;-0.124451845884323
0.000238;1.06661158800125;0.000238;-1.96631814539433;0.000238;-0.121137556930383
0.000239;1.06661158800125;0.000239;-1.93653297424316;0.000239;-0.106223256637653
0.00024;1.06165291368961;0.00024;-1.91667619347572;0.00024;-0.0995946787297726
0.000241;1.06165291368961;0.000241;-1.8819268271327;0.000241;-0.0913089563449224
0.000242;1.06165291368961;0.000242;-1.84717746078968;0.000242;-0.0813660894831022
0.000243;1.06165291368961;0.000243;-1.81739228963852;0.000243;-0.076394656052192
0.000244;1.06165291368961;0.000244;-1.7826429232955;0.000244;-0.074737511575222
0.000245;1.05669423937798;0.000245;-1.7578219473362;0.000245;-0.0846803784370422
0.000246;1.05669423937798;0.000246;-1.72803677618504;0.000246;-0.0830232339600722
0.000247;1.0467768907547;0.000247;-1.70321580022573;0.000247;-0.0581660668055216
0.000248;1.05173556506634;0.000248;-1.67343062907457;0.000248;-0.0780518005291621
0.000249;1.05173556506634;0.000249;-1.64364545792341;0.000249;-0.073080367098252
0.00025;1.05669423937798;0.00025;-1.60889609158039;0.00025;-0.0664517891903718
0.000251;1.0467768907547;0.000251;-1.57911092042923;0.000251;-0.0598232112824917
0.000252;1.0467768907547;0.000252;-1.55428994446993;0.000252;-0.0531946333746115
0.000253;1.03190086781979;0.000253;-1.52946896851063;0.000253;-0.0382803330818812
0.000254;1.02198351919651;0.000254;-1.50464799255133;0.000254;-0.0349660441279411
0.000255;1.01702484488487;0.000255;-1.47486282140017;0.000255;-0.0349660441279411
0.000256;1.01702484488487;0.000256;-1.44011345505714;0.000256;-0.0183945993582408
0.000257;1.0071074962616;0.000257;-1.41032828390598;0.000257;-0.0134231659273307
0.000258;1.0071074962616;0.000258;-1.38054311275482;0.000258;-0.0183945993582408
0.000259;0.997190147638321;0.000259;-1.35075794160366;0.000259;-0.0233660327891509
0.00026;0.987272799015045;0.00026;-1.3209727704525;0.00026;-0.0217088883121808
0.000261;0.987272799015045;0.000261;-1.28622340410948;0.000261;-0.0250231772661209
0.000262;0.982314124703407;0.000262;-1.25147403776646;0.000262;-0.0233660327891509
0.000263;0.977355450391769;0.000263;-1.21176047623158;0.000263;-0.0200517438352108
0.000264;0.967438101768494;0.000264;-1.18693950027227;0.000264;-0.00513744354248047
0.000265;0.957520753145218;0.000265;-1.15219013392925;0.000265;0.00149113436539968
0.000266;0.942644730210304;0.000266;-1.13233335316181;0.000266;-0.000166010111570358
0.000267;0.932727381587029;0.000267;-1.10254818201065;0.000267;0.0213768680890401
0.000268;0.922810032963753;0.000268;-1.06779881566763;0.000268;0.0346340239048004
0.000269;0.912892684340477;0.000269;-1.03801364451647;0.000269;0.0313197349508603
0.00027;0.902975335717201;0.00027;-1.00822847336531;0.00027;0.0346340239048004
0.000271;0.888099312782288;0.000271;-0.978443302214146;0.000271;0.0313197349508603
0.000272;0.878181964159012;0.000272;-0.943693935871124;0.000272;0.0296625904738903
0.000273;0.868264615535736;0.000273;-0.913908764719963;0.000273;0.0213768680890401
0.000274;0.863305941224098;0.000274;-0.874195203185081;0.000274;0.0213768680890401
0.000275;0.848429918289185;0.000275;-0.84937422722578;0.000275;0.0197197236120701
0.000276;0.843471243977547;0.000276;-0.814624860882759;0.000276;0.0379483128587405
0.000277;0.838512569665909;0.000277;-0.774911299347878;0.000277;0.0429197462896506
0.000278;0.818677872419357;0.000278;-0.755054518580437;0.000278;0.0545197576284409
0.000279;0.798843175172806;0.000279;-0.740161933004856;0.000279;0.0644626244902611
0.00028;0.78892582654953;0.00028;-0.705412566661835;0.00028;0.0727483468751113
0.000281;0.774049803614616;0.000281;-0.675627395510674;0.000281;0.0727483468751113
0.000282;0.759173780679703;0.000282;-0.645842224359512;0.000282;0.0777197803060214
0.000283;0.744297757744789;0.000283;-0.616057053208351;0.000283;0.0793769247829914
0.000284;0.729421734809875;0.000284;-0.59123607724905;0.000284;0.0744054913520813
0.000285;0.724463060498238;0.000285;-0.561450906097889;0.000285;0.0661197689672311
0.000286;0.709587037563324;0.000286;-0.531665734946728;0.000286;0.0710912023981412
0.000287;0.689752340316772;0.000287;-0.506844758987427;0.000287;0.0661197689672311
0.000288;0.684793666005135;0.000288;-0.472095392644405;0.000288;0.0694340579211712
0.000289;0.674876317381859;0.000289;-0.442310221493244;0.000289;0.0760626358290513
0.00029;0.660000294446945;0.00029;-0.412525050342083;0.00029;0.0926340805987517
0.000291;0.640165597200394;0.000291;-0.392668269574642;0.000291;0.0942912250757217
0.000292;0.62528957426548;0.000292;-0.367847293615341;0.000292;0.102576947460572
0.000293;0.610413551330566;0.000293;-0.34302631765604;0.000293;0.104234091937542
0.000294;0.595537528395653;0.000294;-0.323169536888599;0.000294;0.110862669845422
0.000295;0.580661505460739;0.000295;-0.293384365737438;0.000295;0.114176958799362
0.000296;0.565785482525826;0.000296;-0.273527584969997;0.000296;0.115834103276332
0.000297;0.545950785279274;0.000297;-0.253670804202557;0.000297;0.107548380891482
0.000298;0.53107476234436;0.000298;-0.228849828243256;0.000298;0.107548380891482
0.000299;0.521157413721085;0.000299;-0.199064657092094;0.000299;0.100919802983602
0.0003;0.511240065097809;0.0003;-0.179207876324654;0.0003;0.102576947460572
0.000301;0.496364042162895;0.000301;-0.154386900365353;0.000301;0.102576947460572
0.000302;0.481488019227982;0.000302;-0.124601729214191;0.000302;0.110862669845422
0.000303;0.466611996293068;0.000303;-0.104744948446751;0.000303;0.112519814322392
0.000304;0.446777299046516;0.000304;-0.08985236287117;0.000304;0.122462681184212
0.000305;0.426942601799965;0.000305;-0.0799239724874496;0.000305;0.117491247753302
0.000306;0.417025253176689;0.000306;-0.0551029965281487;0.000306;0.134062692523003
0.000307;0.402149230241776;0.000307;-0.0352462157607079;0.000307;0.134062692523003
0.000308;0.387273207306862;0.000308;-0.0153894349932671;0.000308;0.139034125953913
0.000309;0.372397184371948;0.000309;0.00446734577417374;0.000309;0.139034125953913
0.00031;0.352562487125397;0.00031;0.0143957361578941;0.00031;0.135719836999973
0.000311;0.337686464190483;0.000311;0.0342525169253349;0.000311;0.130748403569063
0.000312;0.317851766943932;0.000312;0.0441809073090553;0.000312;0.125776970138152
0.000313;0.307934418320656;0.000313;0.0640376880764961;0.000313;0.122462681184212
0.000314;0.293058395385742;0.000314;0.0838944688439369;0.000314;0.125776970138152
0.000315;0.283141046762466;0.000315;0.0987870544195175;0.000315;0.127434114615122
0.000316;0.273223698139191;0.000316;0.118643835186958;0.000316;0.139034125953913
0.000317;0.253389000892639;0.000317;0.128572225570679;0.000317;0.137376981476943
0.000318;0.233554303646088;0.000318;0.133536420762539;0.000318;0.148976992815733
0.000319;0.218678280711174;0.000319;0.14842900633812;0.000319;0.150634137292703
0.00032;0.198843583464622;0.00032;0.15835739672184;0.00032;0.160577004154523
0.000321;0.183967560529709;0.000321;0.1633215919137;0.000321;0.152291281769673
