Temps;EA0;Temps;I
0.000109;2.59388327598572;0.000109;-0.00246179147877476
0.0001095;2.58396592736244;0.0001095;-0.00246179147877476
0.00011;2.58892460167408;0.00011;-0.00246179147877476
0.0001105;2.58396592736244;0.0001105;-0.00248435600237413
0.000111;2.58396592736244;0.000111;-0.00246179147877476
0.0001115;2.58396592736244;0.0001115;-0.00246179147877476
0.000112;2.58396592736244;0.000112;-0.00246179147877476
0.0001125;2.5790072530508;0.0001125;-0.00246179147877476
0.000113;2.58396592736244;0.000113;-0.00241666243157604
0.0001135;2.56413123011589;0.0001135;-0.00250692052597349
0.000114;2.57404857873917;0.000114;-0.00246179147877476
0.0001145;2.56413123011589;0.0001145;-0.00248435600237413
0.000115;2.56908990442753;0.000115;-0.00246179147877476
0.0001155;2.56908990442753;0.0001155;-0.0024392269551754
0.000116;2.56413123011589;0.000116;-0.00248435600237413
0.0001165;2.56413123011589;0.0001165;-0.00246179147877476
0.000117;2.56413123011589;0.000117;-0.0024392269551754
0.0001175;2.55917255580425;0.0001175;-0.00246179147877476
0.000118;2.55917255580425;0.000118;-0.00248435600237413
0.0001185;2.56413123011589;0.0001185;-0.0024392269551754
0.000119;2.54925520718098;0.000119;-0.00250692052597349
0.0001195;2.55421388149261;0.0001195;-0.0024392269551754
0.00012;2.54925520718098;0.00012;-0.00246179147877476
0.0001205;2.54429653286934;0.0001205;-0.00246179147877476
0.000121;2.54925520718098;0.000121;-0.00248435600237413
0.0001215;2.54429653286934;0.0001215;-0.00248435600237413
0.000122;2.54429653286934;0.000122;-0.00246179147877476
0.0001225;2.5393378585577;0.0001225;-0.0024392269551754
0.000123;2.5393378585577;0.000123;-0.00246179147877476
0.0001235;2.5393378585577;0.0001235;-0.00246179147877476
0.000124;2.5393378585577;0.000124;-0.00241666243157604
0.0001245;2.52942050993443;0.0001245;-0.00248435600237413
0.000125;2.53437918424606;0.000125;-0.00246179147877476
0.0001255;2.52942050993443;0.0001255;-0.00248435600237413
0.000126;2.53437918424606;0.000126;-0.0024392269551754
0.0001265;2.52446183562279;0.0001265;-0.00246179147877476
0.000127;2.52446183562279;0.000127;-0.00248435600237413
0.0001275;2.51454448699951;0.0001275;-0.00248435600237413
0.000128;2.52446183562279;0.000128;-0.00248435600237413
0.0001285;2.51454448699951;0.0001285;-0.00246179147877476
0.000129;2.51454448699951;0.000129;-0.00248435600237413
0.0001295;2.51454448699951;0.0001295;-0.00246179147877476
0.00013;2.51454448699951;0.00013;-0.00248435600237413
0.0001305;2.51454448699951;0.0001305;-0.0024392269551754
0.000131;2.50958581268787;0.000131;-0.00248435600237413
0.0001315;2.50958581268787;0.0001315;-0.0024392269551754
0.000132;2.50958581268787;0.000132;-0.0024392269551754
0.0001325;2.50462713837624;0.0001325;-0.00246179147877476
0.000133;2.48975111544132;0.000133;-0.00250692052597349
0.0001335;2.4996684640646;0.0001335;-0.00248435600237413
0.000134;2.4996684640646;0.000134;-0.00246179147877476
0.0001345;2.49470978975296;0.0001345;-0.00248435600237413
0.000135;2.4996684640646;0.000135;-0.0024392269551754
0.0001355;2.48975111544132;0.0001355;-0.00248435600237413
0.000136;2.49470978975296;0.000136;-0.0024392269551754
0.0001365;2.48479244112968;0.0001365;-0.00248435600237413
0.000137;2.48975111544132;0.000137;-0.00246179147877476
0.0001375;2.48479244112968;0.0001375;-0.00246179147877476
0.000138;2.47983376681805;0.000138;-0.00246179147877476
0.0001385;2.47983376681805;0.0001385;-0.00246179147877476
0.000139;2.47983376681805;0.000139;-0.00246179147877476
0.0001395;2.47487509250641;0.0001395;-0.00246179147877476
0.00014;2.47487509250641;0.00014;-0.00248435600237413
0.0001405;2.47487509250641;0.0001405;-0.00246179147877476
0.000141;2.46991641819477;0.000141;-0.00248435600237413
0.0001415;2.46495774388313;0.0001415;-0.00246179147877476
0.000142;2.46495774388313;0.000142;-0.00246179147877476
0.0001425;2.46495774388313;0.0001425;-0.00246179147877476
0.000143;2.46495774388313;0.000143;-0.00246179147877476
0.0001435;2.46495774388313;0.0001435;-0.0024392269551754
0.000144;2.4599990695715;0.000144;-0.00246179147877476
0.0001445;2.4599990695715;0.0001445;-0.0024392269551754
0.000145;2.45504039525986;0.000145;-0.00246179147877476
0.0001455;2.45504039525986;0.0001455;-0.00246179147877476
0.000146;2.45504039525986;0.000146;-0.0024392269551754
0.0001465;2.44512304663658;0.0001465;-0.00248435600237413
0.000147;2.45008172094822;0.000147;-0.00246179147877476
