Temps;EA0;Temps;EA1
0.000166;0.704628363251686;0.000166;5.36083395779133
0.000167;0.689752340316772;0.000167;5.36579815298319
0.000168;0.674876317381859;0.000168;5.36579815298319
0.000169;0.660000294446945;0.000169;5.36579815298319
0.00017;0.650082945823669;0.00017;5.37076234817505
0.000171;0.640165597200394;0.000171;5.37572654336691
0.000172;0.630248248577118;0.000172;5.37572654336691
0.000173;0.620330899953842;0.000173;5.38069073855877
0.000174;0.605454877018929;0.000174;5.38069073855877
0.000175;0.585620179772377;0.000175;5.37572654336691
0.000176;0.570744156837463;0.000176;5.36579815298319
0.000177;0.550909459590912;0.000177;5.35586976259947
0.000178;0.536033436655998;0.000178;5.34594137221575
0.000179;0.526116088032722;0.000179;5.35090556740761
0.00018;0.511240065097809;0.00018;5.34594137221575
0.000181;0.491405367851257;0.000181;5.33601298183203
0.000182;0.491405367851257;0.000182;5.34594137221575
0.000183;0.46165332198143;0.000183;5.31615620106459
0.000184;0.446777299046516;0.000184;5.31615620106459
0.000185;0.431901276111603;0.000185;5.30622781068087
0.000186;0.426942601799965;0.000186;5.31615620106459
0.000187;0.407107904553413;0.000187;5.29629942029715
0.000188;0.382314532995224;0.000188;5.28140683472157
0.000189;0.362479835748672;0.000189;5.26155005395412
0.00019;0.342645138502121;0.00019;5.24665746837854
0.000191;0.327769115567207;0.000191;5.23176488280296
0.000192;0.312893092632294;0.000192;5.21687229722738
0.000193;0.293058395385742;0.000193;5.2019797116518
0.000194;0.273223698139191;0.000194;5.19205132126808
0.000195;0.253389000892639;0.000195;5.17219454050064
0.000196;0.238512977957726;0.000196;5.1523377597332
0.000197;0.223636955022812;0.000197;5.14240936934948
0.000198;0.208760932087898;0.000198;5.12255258858204
0.000199;0.188926234841347;0.000199;5.1026958078146
0.0002;0.174050211906433;0.0002;5.08283902704716
0.000201;0.149256840348244;0.000201;5.06298224627972
0.000202;0.124463468790054;0.000202;5.03816127032042
0.000203;0.114546120166779;0.000203;5.01830448955297
0.000204;0.0947114229202271;0.000204;4.99348351359367
0.000205;0.0748767256736755;0.000205;4.97859092801809
0.000206;0.055042028427124;0.000206;4.94384156167507
0.000207;0.0352073311805725;0.000207;4.92398478090763
0.000208;0.015372633934021;0.000208;4.89419960975647
0.000209;0.000496610999107361;0.000209;4.86937863379717
0.00021;-0.0143794119358063;0.00021;4.84952185302973
0.000211;-0.0342141091823578;0.000211;4.82470087707043
0.000212;-0.0490901321172714;0.000212;4.80484409630299
0.000213;-0.0689248293638229;0.000213;4.77505892515182
0.000214;-0.0887595266103745;0.000214;4.75023794919252
0.000215;-0.118511572480202;0.000215;4.70059599727392
0.000216;-0.133387595415115;0.000216;4.67577502131462
0.000217;-0.148263618350029;0.000217;4.64598985016346
0.000218;-0.173056989908218;0.000218;4.62116887420416
0.000219;-0.187933012843132;0.000219;4.591383703053
0.00022;-0.212726384401321;0.00022;4.55167014151812
0.000221;-0.227602407336235;0.000221;4.52684916555882
0.000222;-0.247437104582787;0.000222;4.49209979921579
0.000223;-0.2623131275177;0.000223;4.46727882325649
0.000224;-0.272230476140976;0.000224;4.43749365210533
0.000225;-0.292065173387527;0.000225;4.40770848095417
0.000226;-0.306941196322441;0.000226;4.37295911461115
0.000227;-0.33173456788063;0.000227;4.33324555307627
0.000228;-0.351569265127182;0.000228;4.29353199154139
0.000229;-0.371403962373734;0.000229;4.25878262519836
0.00023;-0.391238659620285;0.00023;4.22403325885534
0.000231;-0.406114682555199;0.000231;4.18928389251232
0.000232;-0.420990705490112;0.000232;4.14957033097744
0.000233;-0.440825402736664;0.000233;4.11978515982628
0.000234;-0.460660099983215;0.000234;4.07510740309954
0.000235;-0.480494797229767;0.000235;4.04035803675652
0.000236;-0.490412145853043;0.000236;4.00560867041349
0.000237;-0.505288168787956;0.000237;3.97582349926233
0.000238;-0.515205517411232;0.000238;3.94107413291931
0.000239;-0.535040214657784;0.000239;3.90632476657629
0.00024;-0.554874911904335;0.00024;3.86661120504141
0.000241;-0.569750934839249;0.000241;3.82193344831467
0.000242;-0.5895856320858;0.000242;3.78221988677979
0.000243;-0.604461655020714;0.000243;3.73754213005304
0.000244;-0.619337677955627;0.000244;3.70279276371002
0.000245;-0.634213700890541;0.000245;3.668043397367
0.000246;-0.649089723825455;0.000246;3.62336564064026
0.000247;-0.663965746760368;0.000247;3.58365207910538
0.000248;-0.678841769695282;0.000248;3.54890271276236
0.000249;-0.693717792630196;0.000249;3.50918915122747
0.00025;-0.703635141253471;0.00025;3.47443978488445
0.000251;-0.713552489876747;0.000251;3.43472622334957
0.000252;-0.728428512811661;0.000252;3.39997685700655
0.000253;-0.743304535746574;0.000253;3.35529910027981
0.000254;-0.758180558681488;0.000254;3.31558553874493
0.000255;-0.773056581616402;0.000255;3.27090778201818
0.000256;-0.782973930239677;0.000256;3.23615841567516
0.000257;-0.792891278862953;0.000257;3.19644485414028
0.000258;-0.807767301797867;0.000258;3.15176709741354
0.000259;-0.82264332473278;0.000259;3.11701773107052
0.00026;-0.832560673356056;0.00026;3.07233997434378
0.000261;-0.842478021979332;0.000261;3.03759060800076
0.000262;-0.84743669629097;0.000262;3.00284124165773
0.000263;-0.852395370602608;0.000263;2.96809187531471
0.000264;-0.862312719225883;0.000264;2.93334250897169
0.000265;-0.877188742160797;0.000265;2.88866475224495
0.000266;-0.887106090784073;0.000266;2.84895119071007
0.000267;-0.897023439407349;0.000267;2.80923762917519
0.000268;-0.906940788030624;0.000268;2.7695240676403
0.000269;-0.911899462342262;0.000269;2.73477470129728
0.00027;-0.926775485277176;0.00027;2.69009694457054
0.000271;-0.926775485277176;0.000271;2.65534757822752
0.000272;-0.936692833900452;0.000272;2.6205982118845
0.000273;-0.94165150821209;0.000273;2.59081304073334
0.000274;-0.946610182523727;0.000274;2.55109947919846
0.000275;-0.946610182523727;0.000275;2.52627850323915
0.000276;-0.946610182523727;0.000276;2.49649333208799
0.000277;-0.956527531147003;0.000277;2.45677977055311
0.000278;-0.956527531147003;0.000278;2.42203040421009
0.000279;-0.966444879770279;0.000279;2.38231684267521
0.00028;-0.971403554081917;0.00028;2.34756747633219
0.000281;-0.981320902705193;0.000281;2.31281810998917
0.000282;-0.98627957701683;0.000282;2.27310454845428
0.000283;-0.98627957701683;0.000283;2.24331937730312
0.000284;-0.98627957701683;0.000284;2.21353420615196
0.000285;-0.991238251328468;0.000285;2.17382064461708
0.000286;-0.991238251328468;0.000286;2.14403547346592
0.000287;-0.996196925640106;0.000287;2.11921449750662
0.000288;-0.991238251328468;0.000288;2.09439352154732
0.000289;-0.98627957701683;0.000289;2.06460835039616
0.00029;-0.98627957701683;0.00029;2.03978737443686
